Location Type,Descriptor,Complaint Type
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,N/A,Homeless Encampment
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
,Driver Complaint,Taxi Complaint
Store/Commercial,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Store/Commercial,Banging/Pounding,Noise - Commercial
Store/Commercial,Loud Talking,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Street,Driver Complaint,For Hire Vehicle Complaint
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
,Driver Complaint,Taxi Complaint
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street,Rough, Pitted or Cracked Roads,Street Condition
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
,Driver Complaint,Taxi Complaint
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Street,Rough, Pitted or Cracked Roads,Street Condition
Club/Bar/Restaurant,After Hours - Licensed Est,Drinking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
,Driver Complaint,Taxi Complaint
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,With License Plate,Derelict Vehicle
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
,Driver Complaint,Taxi Complaint
Club/Bar/Restaurant,Loud Talking,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
3+ Family Apartment Building,Pigeon Waste,Unsanitary Pigeon Condition
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street,Failed Street Repair,Street Condition
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Double Parked Blocking Traffic,Illegal Parking
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Talking,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Car/Truck Horn,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
,Vehicle Complaint,Taxi Complaint
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Talking,Noise - Commercial
,Driver Complaint,Taxi Complaint
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Residential Building/House,In Public,Drinking
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Restaurant/Bar/Deli/Bakery,Food Worker Hygiene,Food Establishment
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Store/Commercial,Banging/Pounding,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Store/Commercial,Loud Talking,Noise - Commercial
Store/Commercial,Banging/Pounding,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street,Driver Complaint,Taxi Complaint
Store/Commercial,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
,Driver Complaint,Taxi Complaint
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
1-2 Family Mixed Use Building,Condition Attracting Rodents,Rodent
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Talking,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,ENTIRE BUILDING,HEAT/HOT WATER
RESIDENTIAL BUILDING,APARTMENT ONLY,HEAT/HOT WATER
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Store/Commercial,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Talking,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
,Driver Complaint,Taxi Complaint
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
Store/Commercial,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
,Noise: Construction Before/After Hours (NM1),Noise
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street,Driver Complaint,For Hire Vehicle Complaint
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
,Noise, Barking Dog (NR5),Noise
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
,Street Light Out,Street Light Condition
,Street Light Out,Street Light Condition
Street/Sidewalk,Double Parked Blocking Vehicle,Illegal Parking
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street,No Parking, Standing, Stopping,Street Sign - Damaged
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Sidewalk,E6 Commercial Waste Disposal,Other Enforcement
Club/Bar/Restaurant,Banging/Pounding,Noise - Commercial
Street,Tree Alive - in Poor Condition,Damaged Tree
Street/Sidewalk,No Access,Blocked Driveway
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Club/Bar/Restaurant,Loud Talking,Noise - Commercial
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Street/Sidewalk,Detached Trailer,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Other (Explain Below),Rat Sighting,Rodent
,Controller,Traffic Signal Condition
Club/Bar/Restaurant,Loud Talking,Noise - Commercial
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
,Noise: Construction Before/After Hours (NM1),Noise
Street,Tree Alive - in Poor Condition,Damaged Tree
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Banging/Pounding,Noise - Commercial
Store/Commercial,Loud Music/Party,Noise - Commercial
,Driver Complaint,Taxi Complaint
Street/Sidewalk,No Access,Blocked Driveway
Street,Cave-in,Street Condition
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Store/Commercial,Loud Music/Party,Noise - Commercial
,Street Light Out,Street Light Condition
Park/Playground,Loud Talking,Noise - Park
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
Club/Bar/Restaurant,Loud Talking,Noise - Commercial
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,Double Parked Blocking Vehicle,Illegal Parking
,Noise: Construction Before/After Hours (NM1),Noise
Other (Explain Below),Bare Hands in Contact w/ Food,Food Establishment
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Street/Sidewalk,Blocked Hydrant,Illegal Parking
